approve_estimate,disapprove_estimate,date
41.441466,53.849522,2022-05-27
41.329376,53.917901,2022-05-26
42.206557,53.894373,2022-05-25
41.590087,54.403033,2022-05-24
41.813753,54.232591,2022-05-23
42.053908,53.34815,2022-05-22
42.053908,53.34815,2022-05-21
42.053908,53.34815,2022-05-20
42.255944,53.390282,2022-05-19
42.647885,52.944204,2022-05-18
42.751895,53.019446,2022-05-17
42.745197,52.857314,2022-05-16
42.367431,53.136289,2022-05-15
42.428554,53.063414,2022-05-13
42.345478,53.154414,2022-05-12
42.566586,52.855333,2022-05-11
42.826125,52.55196,2022-05-10
42.981044,52.410658,2022-05-09
42.213284,52.384179,2022-05-08
41.42763,52.113922,2022-05-07
43.017251,52.312313,2022-05-06
42.787022,52.579181,2022-05-05
42.8594,52.621176,2022-05-04
42.778181,52.174046,2022-05-03
42.575823,52.045373,2022-05-02
42.238415,52.467416,2022-05-01
42.238415,52.467416,2022-04-29
42.216329,52.557388,2022-04-28
42.416452,52.833914,2022-04-27
42.60338,53.156844,2022-04-26
42.489086,53.243897,2022-04-25
42.858244,53.073333,2022-04-24
42.858244,53.073333,2022-04-23
42.858244,53.073333,2022-04-22
42.639711,52.727228,2022-04-21
43.12979,52.18731,2022-04-20
42.751422,52.369232,2022-04-19
42.428588,52.509428,2022-04-18
42.183528,52.777577,2022-04-17
42.183528,52.777577,2022-04-16
42.183528,52.777577,2022-04-15
42.122372,52.77163,2022-04-14
42.189887,52.76721,2022-04-13
42.382587,52.861657,2022-04-12
42.287832,52.887501,2022-04-11
42.086359,52.872196,2022-04-10
42.086359,52.872196,2022-04-09
42.086359,52.872196,2022-04-08
42.162379,52.790189,2022-04-07
42.090668,52.920305,2022-04-06
41.516148,53.413917,2022-04-05
41.670975,53.128696,2022-04-04
41.514646,53.281702,2022-04-03
41.514646,53.281702,2022-04-02
41.514646,53.281702,2022-04-01
41.647958,53.202572,2022-03-31
41.885353,53.03187,2022-03-30
41.526881,53.276385,2022-03-29
42.169287,52.869458,2022-03-28
42.901477,52.446491,2022-03-27
43.0639,52.36234,2022-03-26
43.0639,52.36234,2022-03-25
42.958399,52.499635,2022-03-24
43.24291,52.266659,2022-03-23
42.681857,52.574436,2022-03-22
42.741335,52.564503,2022-03-21
41.984999,53.015906,2022-03-20
41.984999,53.015906,2022-03-19
42.292806,52.907627,2022-03-18
42.522579,52.756206,2022-03-17
42.927084,52.350526,2022-03-16
43.697573,51.661369,2022-03-15
43.352614,51.599915,2022-03-14
43.427117,51.51575,2022-03-13
43.323498,51.443893,2022-03-12
43.323498,51.443893,2022-03-11
42.762234,51.845923,2022-03-10
43.33795,51.550268,2022-03-09
42.945622,51.956242,2022-03-08
43.09004,51.738421,2022-03-07
43.131086,52.012399,2022-03-06
43.131086,52.012399,2022-03-05
43.131086,52.012399,2022-03-04
42.086515,52.347171,2022-03-03
41.846153,52.575045,2022-03-02
41.075627,53.225088,2022-03-01
41.2443,53.25265,2022-02-28
41.232137,52.886301,2022-02-27
41.236173,52.815187,2022-02-26
41.236173,52.815187,2022-02-25
42.728917,51.876414,2022-02-24
43.123274,52.007986,2022-02-23
42.640201,52.395946,2022-02-22
41.974376,53.2427,2022-02-21
41.974376,53.2427,2022-02-20
41.974376,53.2427,2022-02-19
41.974376,53.2427,2022-02-18
41.928434,52.998917,2022-02-17
41.908109,52.99846,2022-02-16
42.245517,52.58687,2022-02-15
42.391772,52.426681,2022-02-14
42.311724,52.411487,2022-02-13
42.311724,52.411487,2022-02-12
42.311724,52.411487,2022-02-11
42.134408,52.551768,2022-02-10
42.073381,52.631932,2022-02-09
41.770652,52.846536,2022-02-08
41.862347,52.807303,2022-02-07
42.203231,52.371366,2022-02-06
42.203231,52.371366,2022-02-05
42.203231,52.371366,2022-02-04
42.017108,52.553181,2022-02-03
41.884358,52.676888,2022-02-02
41.315835,53.581941,2022-02-01
41.580263,53.288738,2022-01-31
41.538099,53.324741,2022-01-30
41.538099,53.324741,2022-01-29
41.538099,53.324741,2022-01-28
41.534288,53.646362,2022-01-27
41.031767,54.029122,2022-01-26
41.133728,54.287476,2022-01-25
41.18466,53.831998,2022-01-24
42.53684,53.584708,2022-01-23
41.910437,53.823042,2022-01-22
41.910437,53.823042,2022-01-21
41.885214,53.668719,2022-01-20
41.643842,53.188363,2022-01-19
42.153509,52.434668,2022-01-18
42.223163,52.353433,2022-01-17
42.224828,52.277765,2022-01-16
42.224828,52.277765,2022-01-15
42.224828,52.277765,2022-01-14
42.531326,52.180144,2022-01-13
42.408715,52.471715,2022-01-12
43.136634,52.327152,2022-01-11
43.226254,52.303263,2022-01-10
43.428599,51.978784,2022-01-09
43.428599,51.978784,2022-01-08
43.428599,51.978784,2022-01-07
43.527549,51.871375,2022-01-06
43.361748,51.934011,2022-01-05
43.180684,52.119767,2022-01-04
43.356799,52.146203,2022-01-03
43.191886,52.170559,2022-01-02
43.191886,52.170559,2022-01-01
43.16113,52.201334,2021-12-31
43.197809,52.154888,2021-12-30
42.983275,52.351846,2021-12-29
42.942368,52.343686,2021-12-28
42.834126,52.340795,2021-12-27
43.225808,52.015202,2021-12-26
43.225808,52.015202,2021-12-25
43.225808,52.015202,2021-12-24
43.225808,52.015202,2021-12-23
43.47527,51.841684,2021-12-22
43.580697,52.404372,2021-12-21
43.361618,52.61683,2021-12-20
44.012866,51.193029,2021-12-19
44.012866,51.193029,2021-12-18
44.012866,51.193029,2021-12-17
43.967487,51.146571,2021-12-16
44.100626,51.016058,2021-12-15
43.122931,51.455369,2021-12-14
42.709854,51.474391,2021-12-13
42.612142,51.521659,2021-12-12
42.612142,51.521659,2021-12-11
42.612142,51.521659,2021-12-10
42.475717,51.56033,2021-12-09
42.587151,52.014981,2021-12-08
42.672242,52.043217,2021-12-07
42.655209,51.978176,2021-12-06
42.820061,51.906549,2021-12-05
42.820061,51.906549,2021-12-04
42.820061,51.906549,2021-12-03
42.844096,51.865612,2021-12-02
42.621303,51.616978,2021-12-01
43.050444,51.124214,2021-11-30
42.928325,51.233428,2021-11-29
43.132362,51.715663,2021-11-28
43.132362,51.715663,2021-11-27
43.132362,51.715663,2021-11-26
43.132362,51.715663,2021-11-25
43.132362,51.715663,2021-11-24
42.451178,52.345499,2021-11-23
42.432054,52.343803,2021-11-22
42.530427,52.354727,2021-11-21
42.530427,52.354727,2021-11-20
42.530427,52.354727,2021-11-19
42.247239,52.355255,2021-11-18
42.602434,52.278417,2021-11-17
42.413646,52.300936,2021-11-16
42.513632,52.248122,2021-11-15
42.219337,52.298463,2021-11-14
42.848511,51.543765,2021-11-13
42.848511,51.543765,2021-11-12
42.484586,51.749412,2021-11-11
42.661651,51.435432,2021-11-10
42.557112,52.10968,2021-11-09
42.698194,51.955796,2021-11-08
42.638223,51.68103,2021-11-07
43.212385,50.742388,2021-11-06
43.212385,50.742388,2021-11-05
43.60747,50.668804,2021-11-04
43.764938,50.934443,2021-11-03
43.33084,51.13251,2021-11-02
43.624,50.92549,2021-11-01
43.53539,50.98313,2021-10-31
43.36541,50.89757,2021-10-30
43.43818,50.64347,2021-10-29
44.32972,50.96887,2021-10-28
44.34596,50.7774,2021-10-27
43.925155,51.06332,2021-10-26
44.075221,51.015965,2021-10-25
43.942991,51.150665,2021-10-24
43.942991,51.150665,2021-10-23
43.942991,51.150665,2021-10-22
44.498974,50.170611,2021-10-21
44.261986,50.93821,2021-10-20
44.194057,49.961118,2021-10-19
44.556852,49.759663,2021-10-18
44.608594,49.763512,2021-10-17
44.608594,49.763512,2021-10-16
44.608594,49.763512,2021-10-15
44.405003,49.905112,2021-10-14
